Student ID,Full Name,Age,Sex,Height (cm),Weight (kg),Activity,Breakfast,Lunch,Dinner,Snacks,Calories,Protein (g),Carbs,Fat (g),Fiber,Sugar,Sodium (mg),House
S1001,Student 1,21,Female,183.2,62.8,Sedentary,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,1582,43,198,74,26,33,1276,Red
S1002,Student 2,22,Male,164.6,55.8,Light,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,1884,75,288,43,30,60,2393,Red
S1003,Student 3,22,Male,151.7,54.9,Sedentary,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,1671,75,214,58,28,39,2347,Red
S1004,Student 4,17,Male,170.4,73.8,Sedentary,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,1774,63,204,75,29,33,2216,Blue
S1005,Student 5,21,Male,166.3,86.6,Light,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,1812,63,256,55,12,56,1814,Blue
S1006,Student 6,21,Male,175.5,58.0,Moderate,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,1657,44,210,72,14,51,2063,Red
S1007,Student 7,17,Female,176.8,70.8,Active,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,2048,60,267,84,12,25,1752,Blue
S1008,Student 8,17,Female,152.1,76.6,Moderate,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,2053,81,294,58,10,49,1927,Red
S1009,Student 9,17,Female,167.3,54.8,Active,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,1838,58,213,87,25,25,1540,Blue
S1010,Student 10,22,Female,169.2,84.8,Moderate,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,2091,67,320,57,22,34,1509,Red
S1011,Student 11,18,Female,155.3,74.6,Moderate,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,2032,40,304,77,10,29,2058,Blue
S1012,Student 12,21,Female,183.4,76.1,Active,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,1736,72,193,69,22,45,1412,Blue
S1013,Student 13,22,Female,152.2,48.0,Sedentary,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,1784,53,292,50,13,20,2360,Red
S1014,Student 14,24,Female,153.6,61.4,Light,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,1451,41,198,53,30,36,1911,Blue
S1015,Student 15,23,Male,154.3,83.2,Light,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,2093,69,302,70,13,41,2716,Blue
S1016,Student 16,23,Male,179.0,52.3,Sedentary,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,1735,41,232,73,26,39,2516,Red
S1017,Student 17,20,Female,168.1,85.9,Light,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,1871,62,237,74,29,32,2850,Red
S1018,Student 18,22,Male,175.9,55.2,Sedentary,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,2107,73,306,62,18,50,1730,Red
S1019,Student 19,21,Male,165.7,87.2,Light,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,1713,62,273,45,25,32,1891,Red
S1020,Student 20,23,Male,171.8,85.5,Sedentary,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,2081,40,302,81,22,32,2179,Red
S1021,Student 21,22,Male,177.6,60.0,Light,"Idli, Sambar","Rice, Dal, Vegetable curry","Chapati, Paneer curry",Banana,2080,86,281,69,15,28,1256,Red
